id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,overview,popularity,genres,production_countries,spoken_languages,cast,director
916390,1341 Frames of Love and War,6.667,3,Released,2/9/2023,0,89,0,tt17593934,he,An Eldar Bogunov drama short.,1.132,Documentary,Israel  United Kingdom  United States of America,English,Eldar Bogunov  Krolik Black,Ran Tal
301121,A Natural Born Fool,6.333,24,Released,6/28/2004,850000,90,0,tt0422319,ar,English,2.696,Comedy,Egypt,English,Alex Lykos,Ramy Imam
1138295,Abo Nasab,5.5,4,Released,12/21/2023,0,110,0,tt28005380,ar,English,5.18,Comedy,Egypt,English,Andrew Tatge  Caitlin Magnusson  Mitchell Lundin,Ramy Imam
653731,A Thousand Cuts,6.7,9,Released,1/23/2020,0,99,0,tt11394166,en,Documentary illustrating the birth of sound cinema.,1.269,Documentary,Philippines  United States of America,English ,Paolo Cherchi Usai  Julien Anton  Stephen Herbert  Maurice Gianati,Ramona S. Diaz
280805,A Film About Kids and Music,7,2,Released,2/15/2013,0,101,0,tt2460440,ca,English,0.6,Music  Documentary,Spain,English Catal Espaol,Vino Laes  Indrek Ojari,Ramon Tort
926882,Aadhaar,7,1,Released,9/23/2022,0,122,0,tt15433700,ta,An unknown woman disturbs the marriage of a cinema superstar.,0.97,Drama,India,English,Mitra Hajjar  Khosro Shakibai  Laya Zanganeh  Homayoun Ershadi  Amin Hayaei,Ramnath Palanikumar
234201,10000 Nights Nowhere,5.3,6,Released,11/10/2013,0,113,0,tt1680303,en,Before the assault  feel the weight of the body.,0.972,Drama,Spain  France  Germany,Espaol,Francisco Nolasco  Antnio Paulo Martins  Eduardo Aguilar,Ramn Salazar
40938,20 Centimeters,5.1,28,Released,6/10/2005,0,112,0,tt0421528,es,English,5.372,Comedy  Drama,France  Spain,Espaol,Jules Elting  Wilma Azevedo  Edivina Ribeiro,Ramn Salazar
901511,2nd Chance,7.7,3,Released,12/2/2022,5267,89,0,tt16282914,en,English,1.619,Documentary  History,United States of America,English,Andrey Piskarev  Mariya Shalaeva  Manana Totibadze  Mikhail Evlanov,Ramin Bahrani
283235,99 Homes,6.76,709,Released,9/25/2015,1411927,112,8000000,tt2891174,en,English,13.72,Drama,United States of America,English,Bitori Nha Bibinha  Isabel Muoz Cardoso  Patrcia Soso,Ramin Bahrani
337418,A White White Night,8,1,Released,6/1/2014,0,122,0,tt4312900,ru,A modern man is obsessed with finding inner salvation.,0.922,Drama,Russia,English,Ezra Buzzington  Blair Underwood,Ramil Salakhutdinov
1092001,A Street For Two,6,2,Released,2/11/2023,0,5,405,tt26679217,es,This boy is so obsessed with a personal record.,1.224,Romance  Drama,Argentina,Espaol,Ricky Merino,Rami Mercado
460769,Abbayitho Ammayi,3,1,Released,1/1/2016,0,149,0,tt5227998,te,English,2.731,Drama  Romance,India,English,Laurie Zimmer  John Carpenter,Ramesh Varma
63637,Aathi,5,14,Released,1/15/2006,0,160,0,tt0769499,ta,English,5.361,Action  Thriller,India,English,Lauren Rodriguez  Clarence M. Chiong  Seulgi,Ramana
926085,36 Farmhouse,7,1,Released,1/21/2022,0,107,0,tt14934060,hi,English,2.289,Comedy  Drama  Mystery,India,English,Swapnil kiiran Kotriwar  Swara Bhasker  Gulshan Devaiah,Ram Ramesh Sharma
688358,Aatakkuntu Lekkakkilla,0,0,Released,9/27/2019,0,124,0,tt11000080,kn,Narrated collection of the greatest Dobrisa Cesaric's poems.,3.145,Drama  Horror,India,,Lovro Preprotnik  Hrvoje Klecz,Ram J Chandra
732621,12 o CLOCK,3,1,Released,1/8/2021,0,105,0,tt10040978,hi,English,1.403,Horror  Thriller,India,English,English,Ram Gopal Varma
530581,365 Days,4.5,17,Released,5/22/2015,0,110,0,tt4641602,te,English,4.344,Romance,India,English,English,Ram Gopal Varma
96421,A mi me gusta,0,0,Released,12/12/2008,0,87,0,tt1380031,es,Tongue-in-cheek parody of John Wick..,0.955,Romance  Drama,Venezuela,English Espaol,Robert Sisko  Brett Driver,Ralph Kinnard
34211,A Closed Book,5.5,18,Released,7/13/2012,0,88,0,tt1320236,en,English,2.932,Action  Thriller  Science Fiction,United Kingdom,English,Marcelo Serrado  Carol Castro  Marcelo Laham  Roberta Rodrigues,Ral Ruiz
200002,A Place Among the Living,5.9,6,Released,8/28/2003,0,103,0,tt0408295,fr,story of 2 cousins..,1.227,Drama,France,Franais,Mahmood Azizi  Maryam Amirjalali  Majid Salehi  Niousha Zeighami  Fatemeh Goudarzi,Ral Ruiz
283718,12 horas,5.75,6,Released,1/1/2001,0,89,0,tt0300888,es,A girl brings to life a demonic voodoo doll.,1.4,Music  Comedy  Drama,Puerto Rico,Espaol,Nicol Rendon,Ral Marchand Snchez
357446,A Wedding in Castaer,10,1,Released,9/3/2015,0,124,0,tt4388606,es,A man  a woman  a doll.,1.18,Comedy  Romance,Puerto Rico,English Espaol,Pter Scherer  Tnde Murnyi,Ral Garca
388161,3 Nafas Likas,7,1,Released,10/16/2014,0,107,0,tt3680174,id,Alice receives an unsettling gift on Halloween night.,1.385,Drama,Indonesia,Bahasa indonesia,Sabrina Knappett,Rako Prijanto
940270,Aaja Mexico Challiye,8.5,2,Released,2/25/2022,0,125,0,tt15554410,pa,English,3.068,Drama  Thriller,India,English,Sara Soltani Boljak  Louise Ryme  Tina Pourdavoy  Hannes Fohlin,Rakesh Dhawan
20453,3 Idiots,7.995,2245,Released,12/23/2009,70000000,170,9000000,tt1187043,hi,English,29.988,Drama  Comedy,India,English,Frank Opperman  Thapelo Mokoena  Henritta Gryffenberg,Rajkumar Hirani
343404,Aanch,8,1,Released,9/26/2003,0,160,0,tt0389726,hi,A lonely plumber fights for a customer he's fallen for.,1.88,Drama,India,English,Adam Lustick  Stephanie Allynne  George Basil  Josh Ruben,Rajesh Kumar Singh
272433,47 to 84 Hun Main Kisnu Watan Kahunga,0,0,Released,5/30/2014,0,128,0,tt4847478,pa,Fionn  a young fisherman  risks everything to help a friend.,0.6,Drama,India,English,Michael O'Flatharta  Padraic O'Flatharta  Colm O'Ceoinin  Conal O'Cidigh  Bertie O'Domhnaill,Rajeev Sharma
552307,7ujuh,4.667,3,Released,11/8/2018,0,92,430209,tt9002058,ms,English,2.674,Horror,Malaysia,Bahasa melayu,Adelaide Kane  Erik Stocklin  Krystal Davis  Desiree Hall,Raja Mukhriz Bin R. Ahmad Kamaruddin
13123,Aamir,6.7,51,Released,6/6/2008,0,99,364000,tt1241195,hi,English,4.528,Thriller,India,English,Sebastian Humphreys  Kathryn Hamilton-Hall,Raj Kumar Gupta
